event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
IRN29327,2024-11-08,2024,1,Political violence,Battles,Armed clash,Army of Justice,,Rebel group,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,,State forces,State forces-Rebel group,,364,Middle East,Iran,Sistan and Baluchestan,Sarbaz,Central,Rasak,26.2368,61.3990,2,Baloch Campaign; BBC News; Haalvash; Iran International; Iran Wire; Radio Farda; Tasnim News Agency,Other-National,"On 8 November 2024, militiamen of the Army of Justice opened fire at the IRGC's convoy in the Firuzabad region near Rasak city (Sistan and Baluchestan). Four militants and an IRGC officer were killed, and three local residents were wounded.",5,,1731368108
IRN29484,2024-11-08,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),,Protesters,,,,Protesters only,,364,Middle East,Iran,Razavi Khorasan,Mashhad,Central,Mashhad,36.3156,59.5680,1,Iran International,International,"On 8 November 2024, supporters of 'Enjoining good and forbidding wrong' staged a rally in front of the Zomorod Shopping Mall in Mashhad city (Razavi Khorasan) to demand intensified punishment for women without hijab.",0,crowd size=no report,1731368109
IRN29337,2024-11-07,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Yazd,Bafq,Central,Bafq,31.6035,55.4025,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 7 November 2024, health workers and nurses staged a rally outside the Valiasr Hospital in Bafq city (Yazd) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
IRN29338,2024-11-07,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Yazd,Meybod,Central,Meybod,32.2501,54.0166,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 7 November 2024, health workers and nurses staged a rally in Meybod city (Yazd) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
IRN29339,2024-11-07,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Yazd,Ardekan,Central,Ardakan,32.3100,54.0175,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 7 November 2024, health workers and nurses staged a rally outside the Ziaee Hospital in Ardakan city (Yazd) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
IRN29340,2024-11-07,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,West Azerbaijan,Urumia,Central,Orumiyeh,37.5527,45.0761,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 7 November 2024, health workers and nurses staged a rally outside the Emam Hospital in Orumiyeh city (West Azerbaijan) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
IRN29341,2024-11-07,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Qom,Qom,Central,Qom,34.6401,50.8764,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 7 November 2024, health workers and nurses staged a rally outside the Beheshti Hospital in Qom city (Qom) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
IRN29342,2024-11-07,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Khuzestan,Ramhormoz,Central,Ramhormoz,31.2800,49.6035,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 7 November 2024, health workers and nurses staged a rally outside the Madar Hospital in Ramhormoz city (Khuzestan) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
IRN29343,2024-11-07,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Fars,Jahrom,Central,Jahrom,28.5119,53.5838,1,Eteraze Bazar,New media,"On 7 November 2024, health workers and nurses staged a rally outside the Motahari Hospital in Jahrom city (Fars) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
IRN29332,2024-11-06,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Health Workers (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Khuzestan,Ahvaz,Central,Ahvaz,31.3190,48.6842,1,Human Rights Activists in Iran (HRA),Local partner-Other,"On 6 November 2024, health workers and nurses staged a rally outside the Ahvaz Jondishapur University of Medical Sciences in Ahvaz city (Khuzestan) as a part of a national strike, over low salaries, compulsory overtime and unfair service tariffs.",0,crowd size=no report,1731368109
