event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
BRA86672,2024-10-25,2024,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Brazil),,Political militia,Unidentified Armed Group (Brazil),,Political militia,Political militia-Political militia,,76,South America,Brazil,Rio de Janeiro,Rio de Janeiro,,Rio de Janeiro - North Zone,-22.8569,-43.3008,1,OTT-RJ,New media,"On 25 October 2024, in Rio de Janeiro - North Zone (Rio de Janeiro), unknown shooters exchanged fire in the Maracana, Meier, Campinho, Cascadura, Penha Circular, Manguinhos, and Bras de Pina neighborhoods. Casualties unknown.",0,,1730180164
SYR91708,2021-06-17,2021,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Syria (2000-),,State forces,,,,State forces only,,760,Middle East,Syria,Hama,As Suqaylabiyah,Ziyara,Zayzun,35.6997,36.3778,1,Liveuamap; SHAAM,Local partner-New media,"On 17 June 2021, regime forces shelled Zayzun in Hama using artillery fire. Neither fatalities nor injuries were reported.",0,,1720478784
ITA13583,2022-01-26,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Italy),No Vax,Protesters,,,,Protesters only,,380,Europe,Italy,Valle d'Aosta,Valle d'Aosta,,Aosta,45.7366,7.32,1,Aosta Oggi; Aosta Sera,Subnational,"On 26 January 2022, in the morning, about 50 people, including 'No Vax' and 'No Green Pass' supporters, gathered in Deffeyes square in Aosta (Aosta, Valle d'Aosta) to protest against the country's coronavirus 'green pass' vaccine mandate and denounce vaccination.",0,crowd size=about 50,1730240713
UKR113037,2023-07-22,2023,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Bakhmutska,Ivanivske,48.5722,37.9174,2,Ministry of Defence of Ukraine,Other,"On 22 July 2023, Russian forces engaged in an unsuccessful offensive in the direction of Ivanivske, Donetsk, and were repelled by Ukrainian forces. Casualties unknown.",0,,1715131295
BRA84367,2024-07-31,2024,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Brazil),,Political militia,Unidentified Armed Group (Brazil),,Political militia,Political militia-Political militia,,76,South America,Brazil,Rio de Janeiro,Rio de Janeiro,,Rio de Janeiro - North Zone,-22.8569,-43.3008,1,OTT-RJ,New media,"On 31 July 2024, in Rio de Janeiro - North Zone (Rio de Janeiro), unknown shooters exchanged fire in the Mare Complex, Campinho, Guadalupe, and Alto da Boa Vista neighborhoods. Casualties unknown.",0,,1722903277
SAF16887,2022-06-06,2022,1,Demonstrations,Riots,Violent demonstration,Rioters (South Africa),Students (South Africa),Rioters,Police Forces of South Africa (1994-2024),,State forces,State forces-Rioters,,710,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,Daily News (South Africa); News24 (South Africa),National,"On 6 June 2022, 50 students barricaded the Mahatma Gandhi Road with stones and burning tires in Durban (eThekwini, KwaZulu-Natal) over poor internet connection at the Seabord residence. Demonstrators threw bottles, rubble, and objects from the top floors of the residence building. Police officers arrested two students for inciting public violence.",0,crowd size=50,1721691292
KGZ1628,2022-07-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Alamudun,,Tash-Dobo,42.7252,74.5707,1,24Kg,National,"On 22 July 2022, residents of Tash-Dobo village in Alamudun district of Chui region gathered by the local road carrying empty buckets in protest of drinking water supply shortages in the area demanding that the authorities fix the issue.",0,crowd size=no report,1658857904
COL25644,2024-02-20,2024,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Gulf Clan,,Political militia,Civilians (Colombia),,Civilians,Political militia-Civilians,Civilian targeting,170,South America,Colombia,Antioquia,Segovia,,Segovia,7.0796,-74.7016,2,El Colombiano,Subnational,"On 20 February 2024, in the rural area of Segovia municipality (Antioquia), a man was injured after stepping on a landmine planted by suspected members of the Gulf Clan. There were no fatalities.",0,,1708988308
COL14395,2020-12-05,2020,2,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,Political militia,Civilians (Colombia),,Civilians,Political militia-Civilians,Civilian targeting,170,South America,Colombia,Antioquia,Hispania,,Hispania,5.7992,-75.9073,2,Monitor - OCHA Colombia,Other,"Around 5 December 2020 (as reported), in Hispania municipality, Antioquia, a man was shot dead in La Armenia vereda. Motives of the attack and information on the attackers are unknown. The department is known for the presence of armed groups. 1 fatality.",1,,1724787063
PAK143776,2024-07-29,2024,1,Demonstrations,Protests,Protest with intervention,Protesters (Pakistan),JI: Jamaat-e-Islami; Women (Pakistan),Protesters,Police Forces of Pakistan (2022-),,State forces,State forces-Protesters,,586,South Asia,Pakistan,Punjab,Rawalpindi,Rawalpindi,Rawalpindi,33.6007,73.0679,2,Pakistan Observer,National,"On 29 July 2024, police surrounded a convey of buses carrying JI women members traveling to Rawalpindi (Rawalpindi, Punjab) to join the JI protests against inflation and electricity hikes. The police removed the women from their buses and took the buses to the Chung Poice station where they were impounded.",0,crowd size=no report,1722974443
